,time_index,compound_id,step,braking_id,time,pressure_bar,temp_c,speed_kph,mu,A_1,A_2,A_3,A_4,A_5,A_6,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,C_1,C_2,C_3,C_4,C_5,C_6,D_1,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12
1,1,17937-115,Burnishing 1,burnishing_1_1,0.935,10.6995237,25.3610101,72.99870368,0.4450819422,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
2,2,17937-115,Burnishing 1,burnishing_1_1,1.023833333,10.23050545,25.64516126,71.71098867,0.4491958373,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
3,3,17937-115,Burnishing 1,burnishing_1_1,1.112666667,10.18951935,25.92320163,70.48367305,0.446587522,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
4,4,17937-115,Burnishing 1,burnishing_1_1,1.2015,10.25008994,26.32345756,69.25273346,0.450819422,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
5,5,17937-115,Burnishing 1,burnishing_1_1,1.290333333,10.00861519,26.88259371,68.0161566,0.4522924487,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
6,6,17937-115,Burnishing 1,burnishing_1_1,1.379166667,9.896963412,27.40812058,66.75340667,0.468113244,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
7,7,17937-115,Burnishing 1,burnishing_1_1,1.468,9.634692768,28.15974622,65.45361179,0.4799218726,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
8,8,17937-115,Burnishing 1,burnishing_1_1,1.556833333,9.590880043,28.8278579,64.16589677,0.4852646463,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
9,9,17937-115,Burnishing 1,burnishing_1_1,1.645666667,9.411389202,29.82595156,62.87818176,0.496287932,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
10,10,17937-115,Burnishing 1,burnishing_1_1,1.7345,9.354856654,30.76904823,61.56751498,0.4924710837,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
11,11,17937-115,Burnishing 1,burnishing_1_1,1.823333333,9.322552341,32.06249615,60.31080499,0.4832504247,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
12,12,17937-115,Burnishing 1,burnishing_1_1,1.912166667,9.194748401,33.27446703,58.95463734,0.492662333,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
13,13,17937-115,Burnishing 1,burnishing_1_1,2.001,9.163453598,34.73494286,57.63068269,0.5049714652,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
